,Scannumber,Timesweep,Status,I0(5.877|4.316),I1(3.757|2.549),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
214,214,2,Timesweep,0.0,0.0,,986,23.2167,,,,,,
215,215,2,Timesweep,0.0,0.0,,1003,23.3583,,,,,,
216,216,2,Timesweep,0.0,0.0,,1020,23.5,,,,,,
217,217,2,Timesweep,0.0,0.0,,1037,23.6417,,,,,,
218,218,2,Timesweep,0.0,0.0,,1054,23.7833,,,,,,
219,219,2,Timesweep,0.0,0.0,,1071,23.925,,,,,,
220,220,2,Timesweep,0.0,0.0,,1088,24.0667,13,GPC expected,GPC expected,GPC expected,24.0,
221,221,2,Timesweep,0.0,0.0,,1105,24.2083,,,,,,
222,222,2,Timesweep,0.0,0.0,,1122,24.35,,,,,,
223,223,2,Timesweep,0.0,0.0,,1139,24.4917,,,,,,
224,224,2,Timesweep,0.0,0.0,,1156,24.6333,,,,,,
225,225,2,Timesweep,0.0,0.0,,1173,24.775,,,,,,
226,226,2,Timesweep,0.0,0.0,,1190,24.9167,,,,,,
227,227,2,Timesweep,0.0,0.0,,1207,25.0583,,,,,,
228,228,2,Timesweep,0.0,0.0,,1224,25.2,,,,,,
229,229,2,Timesweep,0.0,0.0,,1241,25.3417,,,,,,
230,230,2,Timesweep,0.0,0.0,,1258,25.4833,14,GPC expected,GPC expected,GPC expected,25.5,
231,231,2,Timesweep,0.0,0.0,,1275,25.625,,,,,,
232,232,2,Timesweep,0.0,0.0,,1292,25.7667,,,,,,
233,233,2,Timesweep,0.0,0.0,,1309,25.9083,,,,,,
234,234,2,Timesweep,0.0,0.0,,1326,26.05,,,,,,
235,235,2,Timesweep,0.0,0.0,,1343,26.1917,,,,,,
236,236,2,Timesweep,0.0,0.0,,1360,26.3333,,,,,,
237,237,2,Timesweep,0.0,0.0,,1377,26.475,,,,,,
238,238,2,Timesweep,0.0,0.0,,1394,26.6167,,,,,,
239,239,2,Timesweep,0.0,0.0,,1411,26.7583,,,,,,
240,240,2,Timesweep,0.0,0.0,,1428,26.9,,,,,,
241,241,2,Timesweep,0.0,0.0,,1445,27.0417,15,GPC expected,GPC expected,GPC expected,27.0,
242,242,2,Timesweep,0.0,0.0,,1462,27.1833,,,,,,
243,243,2,Timesweep,0.0,0.0,,1479,27.325,,,,,,
244,244,2,Timesweep,0.0,0.0,,1496,27.4667,,,,,,
245,245,2,Timesweep,0.0,0.0,,1513,27.6083,,,,,,
246,246,2,Timesweep,0.0,0.0,,1530,27.75,,,,,,
247,247,2,Timesweep,0.0,0.0,,1547,27.8917,,,,,,
248,248,2,Timesweep,0.0,0.0,,1564,28.0333,,,,,,
249,249,2,Timesweep,0.0,0.0,,1581,28.175,,,,,,
250,250,2,Timesweep,0.0,0.0,,1598,28.3167,,,,,,
251,251,2,Timesweep,0.0,0.0,,1615,28.4583,16,GPC expected,GPC expected,GPC expected,28.5,
252,252,2,Timesweep,0.0,0.0,,1632,28.6,,,,,,
253,253,2,Timesweep,0.0,0.0,,1649,28.7417,,,,,,
254,254,2,Timesweep,0.0,0.0,,1666,28.8833,,,,,,
255,255,2,Timesweep,0.0,0.0,,1683,29.025,,,,,,
256,256,2,Timesweep,0.0,0.0,,1700,29.1667,,,,,,
257,257,2,Timesweep,0.0,0.0,,1717,29.3083,,,,,,
258,258,2,Timesweep,0.0,0.0,,1734,29.45,,,,,,
259,259,2,Timesweep,0.0,0.0,,1751,29.5917,,,,,,
260,260,2,Timesweep,0.0,0.0,,1768,29.7333,,,,,,
261,261,2,Timesweep,0.0,0.0,,1785,29.875,,,,,,
262,262,2,Timesweep,0.0,0.0,,1800,30.0,17,GPC expected,GPC expected,GPC expected,30.0,
263,263,2,No,0.0,0.0,,,,,,,,,
264,264,2,No,0.0,0.0,,,,,,,,,
265,265,2,No,0.0,0.0,,,,,,,,,
266,266,2,No,0.0,0.0,,,,,,,,,
267,267,2,No,0.0,0.0,,,,,,,,,
268,268,2,No,0.0,0.0,,,,,,,,,
269,269,2,No,0.0,0.0,,,,,,,,,
270,270,2,No,0.0,0.0,,,,,,,,,
271,271,2,No,0.0,0.0,,,,,,,,,
272,272,2,No,0.0,0.0,,,,,,,,,
273,273,2,No,0.0,0.0,,,,,,,,,
274,274,2,No,0.0,0.0,,,,,,,,,
275,275,2,No,0.0,0.0,,,,,,,,,
276,276,2,No,0.0,0.0,,,,,,,,,
277,277,2,No,0.0,0.0,,,,,,,,,
278,278,2,No,0.0,0.0,,,,,,,,,
279,279,2,No,0.0,0.0,,,,,,,,,
280,280,2,No,0.0,0.0,,,,,,,,,
281,281,2,No,0.0,0.0,,,,,,,,,
282,282,2,No,0.0,0.0,,,,,,,,,
283,283,2,No,0.0,0.0,,,,,,,,,
284,284,2,No,0.0,0.0,,,,,,,,,
