,Scannumber,Timesweep,Status,I0(5.877|4.316),I1(3.757|2.549),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0.0,1.0,No,8.738999999999999,16.19,0.6401482396541075,,,,,,,,
1,1.0,1.0,No,32.874,45.075,0.5137881308929562,,,,,,,,
2,2.0,1.0,No,25.006,30.895,0.46040891190591793,,,,,,,,
3,3.0,1.0,No,27.951,33.647,0.4461913394953487,,,,,,,,
4,4.0,1.0,No,36.26,49.795,0.5145429594671487,,,,,,,,
5,5.0,1.0,No,36.27,48.005,0.4963024684928653,,,,,,,,
6,6.0,1.0,No,16.489,17.662,0.37760917978333897,,,,,,,,
7,7.0,1.0,No,8.116,13.788,0.6075814718112369,,,,,,,,
8,8.0,1.0,No,6.942,11.602,0.6011032580589554,,,,,,,,
9,9.0,1.0,No,6.957999999999999,12.197000000000001,0.6196879013965183,,,,,,,,
10,10.0,1.0,No,7.224,11.933,0.5964133076342915,,,,,,,,
11,11.0,1.0,No,10.273,15.58,0.5604193410355156,,,,,,,,
12,12.0,1.0,No,9.907,15.004000000000001,0.5598062738825202,,,,,,,,
13,13.0,1.0,No,7.135,12.123,0.6076328741510627,,,,,,,,
14,14.0,1.0,No,6.994,11.992,0.6111852346008451,,,,,,,,
15,15.0,1.0,No,7.475,12.647,0.6059671595371762,,,,,,,,
16,16.0,1.0,No,11.325,15.092,0.4997349589186324,,,,,,,,
17,17.0,1.0,No,6.605,11.952,0.6315818830879072,,,,,,,,
18,18.0,1.0,No,6.712000000000001,12.29,0.6359099538920532,,,,,,,,
19,19.0,1.0,No,7.122000000000001,12.545,0.6215225189318454,,,,,,,,
20,20.0,1.0,No,35.944,39.482,0.39307363693159747,,,,,,,,
21,21.0,1.0,No,35.035,36.72,0.3639251997095134,,,,,,,,
22,22.0,1.0,No,35.004,36.291,0.3569755586784602,,,,,,,,
23,23.0,1.0,No,34.753,36.326,0.362201545266017,,,,,,,,
24,24.0,1.0,No,36.086999999999996,39.38,0.3890807516505842,,,,,,,,
25,25.0,1.0,No,35.75,40.107,0.40575626864803316,,,,,,,,
26,26.0,1.0,No,35.211,38.701,0.39345236557194907,,,,,,,,
27,27.0,1.0,No,35.079,38.092,0.3860653155518219,,,,,,,,
28,28.0,1.0,No,36.24,39.662,0.3908527053602945,,,,,,,,
29,29.0,1.0,No,35.724000000000004,40.505,0.41202320701148,,,,,,,,
30,30.0,1.0,Timesweep,35.229,37.522,0.3740738766590267,0,5.0,1,GPC expected,GPC expected,GPC expected,5.0,1597.0
31,31.0,1.0,Timesweep,35.931,38.881,0.38391502276176037,17,5.1889,,,,,,
32,32.0,1.0,Timesweep,37.323,44.273999999999994,0.4379997289605636,34,5.3778,,,,,,
33,33.0,1.0,Timesweep,35.817,37.766,0.36773817719642,51,5.5667,,,,,,
34,34.0,1.0,Timesweep,35.224000000000004,37.116,0.3673168804109638,68,5.7556,,,,,,
35,35.0,1.0,Timesweep,35.399,37.41,0.36917045353292344,85,5.9444,,,,,,
36,36.0,1.0,Timesweep,34.867,36.676,0.3662158723234087,102,6.1333,,,,,,
37,37.0,1.0,Timesweep,34.576,36.347,0.36581652772810225,119,6.3222,,,,,,
38,38.0,1.0,Timesweep,34.829,36.435,0.3627189973011299,136,6.5111,,,,,,
39,39.0,1.0,Timesweep,34.794000000000004,37.271,0.37763945158434165,153,6.7,,,,,,
40,40.0,1.0,Timesweep,35.238,37.247,0.3692914865626762,170,6.8889,,,,,,
41,41.0,1.0,Timesweep,34.625,36.31,0.364270632516295,187,7.0778,,,,,,
42,42.0,1.0,Timesweep,34.945,36.378,0.35959462678908494,204,7.2667,,,,,,
43,43.0,1.0,Timesweep,34.915,36.635999999999996,0.3646504349091967,221,7.4556,,,,,,
44,44.0,1.0,Timesweep,35.738,37.442,0.36367359293485035,238,7.6444,,,,,,
45,45.0,1.0,Timesweep,34.116,36.533,0.3774395751786057,255,7.8333,,,,,,
46,46.0,1.0,Timesweep,34.521,36.744,0.3736664489440453,272,8.0222,,,,,,
47,47.0,1.0,Timesweep,34.969,36.644,0.3638067168795255,289,8.2111,,,,,,
48,48.0,1.0,Timesweep,34.999,36.42,0.3593446824089328,306,8.4,2,GPC expected,GPC expected,GPC expected,8.3333,1547.0
49,49.0,1.0,Timesweep,34.223,35.854,0.36366002863464797,323,8.5889,,,,,,
50,50.0,1.0,Timesweep,34.509,36.446,0.36876474784612845,340,8.7778,,,,,,
51,51.0,1.0,Timesweep,34.576,36.437,0.3673829715216217,357,8.9667,,,,,,
52,52.0,1.0,Timesweep,34.929,36.619,0.36410060351183804,374,9.1556,,,,,,
53,53.0,1.0,Timesweep,34.759,35.602,0.3491189633541186,391,9.3444,,,,,,
54,54.0,1.0,Timesweep,34.679,35.799,0.35419052673724594,408,9.5333,,,,,,
55,55.0,1.0,Timesweep,34.78,36.402,0.3630386608794388,425,9.7222,,,,,,
56,56.0,1.0,Timesweep,34.988,36.29,0.35725176816386517,442,9.9111,,,,,,
57,57.0,1.0,Timesweep,34.869,37.213,0.3753258269959423,459,10.1,,,,,,
58,58.0,1.0,Timesweep,34.936,38.316,0.3921425340153809,476,10.2889,,,,,,
59,59.0,1.0,Timesweep,34.344,36.643,0.3751603307589444,493,10.4778,,,,,,
60,60.0,1.0,Timesweep,34.814,36.915,0.3712763555916746,510,10.6667,,,,,,
61,61.0,1.0,Timesweep,34.722,37.102,0.37609832354050987,527,10.8556,,,,,,
62,62.0,1.0,Timesweep,34.486,37.256,0.38290029346503474,544,11.0444,,,,,,
63,63.0,1.0,Timesweep,35.705,41.765,0.430065046490283,561,11.2333,,,,,,
64,64.0,1.0,Timesweep,34.48,36.838,0.37600665978970993,578,11.4222,,,,,,
65,65.0,1.0,Timesweep,34.825,38.762,0.4010456976764184,595,11.6111,3,GPC expected,GPC expected,GPC expected,11.6667,1686.0
66,66.0,1.0,Timesweep,34.554,37.88,0.39186906019007395,612,11.8,,,,,,
67,67.0,1.0,Timesweep,34.474000000000004,36.521,0.3706999625786076,629,11.9889,,,,,,
