,Scannumber,Timesweep,Status,I0(5.877|4.316),I1(3.757|2.137),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0.0,1.0,No,20.875999999999998,179.101,0.8251601051920425,,,,,,,,
1,1.0,1.0,No,16.827,99.068,0.7452204546372189,,,,,,,,
2,2.0,1.0,No,25.153000000000002,60.456,0.3759180230250099,,,,,,,,
3,3.0,1.0,No,26.316999999999997,53.158,0.2573930546672186,,,,,,,,
4,4.0,1.0,No,25.058000000000003,49.376000000000005,0.23875972132209988,,,,,,,,
5,5.0,1.0,No,37.345,71.307,0.21441793933274444,,,,,,,,
6,6.0,1.0,No,39.022,73.22800000000001,0.20067460534221893,,,,,,,,
7,7.0,1.0,No,38.525,73.343,0.21209249689813614,,,,,,,,
8,8.0,1.0,No,37.896,73.726,0.2289829910750617,,,,,,,,
9,9.0,1.0,No,39.172,75.095,0.2175511019375458,,,,,,,,
10,10.0,1.0,No,39.475,74.725,0.207594513215122,,,,,,,,
11,11.0,1.0,No,39.191,76.518,0.23172978906923858,,,,,,,,
12,12.0,1.0,No,39.518,76.315,0.2232588612985651,,,,,,,,
13,13.0,1.0,No,39.504,77.572,0.23611612437477447,,,,,,,,
14,14.0,1.0,No,39.488,77.583,0.2365337767294382,,,,,,,,
15,15.0,1.0,No,39.156,77.711,0.24419966285339267,,,,,,,,
16,16.0,1.0,No,39.339,77.952,0.2430149322660098,,,,,,,,
17,17.0,1.0,No,39.744,78.477,0.2403379334072404,,,,,,,,
18,18.0,1.0,No,38.985,78.72399999999999,0.2571833240180884,,,,,,,,
19,19.0,1.0,No,39.525,77.595,0.23593659385269672,,,,,,,,
20,20.0,1.0,No,40.024,79.54899999999999,0.24529535255000057,,,,,,,,
21,21.0,1.0,No,39.71,77.793,0.23431414137518802,,,,,,,,
22,22.0,1.0,No,40.097,79.654,0.24491550957892883,,,,,,,,
23,23.0,1.0,No,39.931,79.36,0.24525579637096784,,,,,,,,
24,24.0,1.0,No,39.653,78.902,0.24615979316113668,,,,,,,,
25,25.0,1.0,No,39.701,79.553,0.2514235792490541,,,,,,,,
26,26.0,1.0,No,39.964,79.346,0.24449877750611249,,,,,,,,
27,27.0,1.0,No,39.863,80.497,0.2571834975216468,,,,,,,,
28,28.0,1.0,No,39.641999999999996,80.318,0.2596553699046291,,,,,,,,
29,29.0,1.0,No,39.453,79.251,0.25326494302911007,,,,,,,,
30,30.0,1.0,Timesweep,40.021,80.082,0.2503746160185809,0,1.0,1,483.1,1233.0,2.551,1.0,1185.0
31,31.0,1.0,Timesweep,39.677,80.02,0.25624218945263677,17,1.2644,,,,,,
32,32.0,1.0,Timesweep,39.69,80.67399999999999,0.26202989810843647,34,1.5289,,,,,,
33,33.0,1.0,Timesweep,38.626999999999995,79.332,0.26964528815610356,51,1.7933,,,,,,
34,34.0,1.0,Timesweep,39.286,79.655,0.26019709999372287,68,2.0578,,,,,,
35,35.0,1.0,Timesweep,39.725,80.773,0.2622844267267527,85,2.3222,,,,,,
36,36.0,1.0,Timesweep,39.265,78.28399999999999,0.24764319656634814,102,2.5867,,,,,,
37,37.0,1.0,Timesweep,39.686,79.63600000000001,0.25248631272288924,119,2.8511,,,,,,
38,38.0,1.0,Timesweep,39.813,79.502,0.24883021810772044,136,3.1156,,,,,,
39,39.0,1.0,Timesweep,39.168,78.998,0.25628496923972766,153,3.38,,,,,,
40,40.0,1.0,Timesweep,38.832,78.55199999999999,0.25847846012832254,170,3.6444,,,,,,
41,41.0,1.0,Timesweep,39.547,80.133,0.25972445808842803,187,3.9089,,,,,,
42,42.0,1.0,Timesweep,39.703,80.39,0.25918024629929093,204,4.1733,,,,,,
43,43.0,1.0,Timesweep,40.346,78.46,0.22866428753504975,221,4.4378,,,,,,
44,44.0,1.0,Timesweep,39.358000000000004,78.619,0.24907465116574867,238,4.7022,,,,,,
45,45.0,1.0,Timesweep,39.52,77.49600000000001,0.2350572932796532,255,4.9667,,,,,,
46,46.0,1.0,Timesweep,39.376,77.783,0.24065669876451157,272,5.2311,,,,,,
47,47.0,1.0,Timesweep,39.217,77.99600000000001,0.24578824555105394,289,5.4956,,,,,,
48,48.0,1.0,Timesweep,39.232,78.202,0.24748727654024194,306,5.76,,,,,,
49,49.0,1.0,Timesweep,40.329,78.605,0.23041155142802627,323,6.0244,,,,,,
50,50.0,1.0,Timesweep,39.262,77.586,0.2409326424870466,340,6.2889,,,,,,
51,51.0,1.0,Timesweep,38.769,77.37899999999999,0.2484588841933857,357,6.5533,,,,,,
52,52.0,1.0,Timesweep,38.961,77.609,0.24697522194590826,374,6.8178,,,,,,
53,53.0,1.0,Timesweep,39.603,79.095,0.24894746823440161,391,7.0822,,,,,,
54,54.0,1.0,Timesweep,38.997,78.37,0.2535983156820212,408,7.3467,,,,,,
55,55.0,1.0,Timesweep,38.78,78.236,0.2564803926581113,425,7.6111,,,,,,
56,56.0,1.0,Timesweep,39.211999999999996,78.085,0.2467439328936416,442,7.8756,,,,,,
57,57.0,1.0,Timesweep,38.864000000000004,77.9,0.25165596919127087,459,8.14,,,,,,
58,58.0,1.0,Timesweep,39.569,78.29,0.24187635713373357,476,8.4044,2,600.5,1384.0,2.304,8.4667,1156.0
59,59.0,1.0,Timesweep,39.286,78.491,0.24922602591379905,493,8.6689,,,,,,
60,60.0,1.0,Timesweep,39.121,78.60600000000001,0.2534730173269216,510,8.9333,,,,,,
61,61.0,1.0,Timesweep,38.971,78.56,0.2558999490835031,527,9.1978,,,,,,
62,62.0,1.0,Timesweep,38.675,77.258,0.24910688860700514,544,9.4622,,,,,,
63,63.0,1.0,Timesweep,39.13,78.834,0.25546084176878003,561,9.7267,,,,,,
64,64.0,1.0,Timesweep,39.013000000000005,78.661,0.2560544615501963,578,9.9911,,,,,,
65,65.0,1.0,Timesweep,38.882,78.732,0.2592211553116903,595,10.2556,,,,,,
66,66.0,1.0,Timesweep,38.287,77.472,0.25869346344485744,612,10.52,,,,,,
67,67.0,1.0,Timesweep,39.012,78.734,0.256763278888409,629,10.7844,,,,,,
68,68.0,1.0,Timesweep,38.65,78.818,0.26444466999923877,646,11.0489,,,,,,
69,69.0,1.0,Timesweep,38.653,76.943,0.24646166642839507,663,11.3133,,,,,,
70,70.0,1.0,Timesweep,37.835,77.786,0.27040212891780013,680,11.5778,,,,,,
71,71.0,1.0,Timesweep,38.444,77.66,0.25745557558588716,697,11.8422,,,,,,
72,72.0,1.0,Timesweep,38.874,78.056,0.2529594137542276,714,12.1067,,,,,,
73,73.0,1.0,Timesweep,38.637,78.905,0.26550281984665103,731,12.3711,,,,,,
74,74.0,1.0,Timesweep,39.315,79.33800000000001,0.25669288361188847,748,12.6356,,,,,,
75,75.0,1.0,Timesweep,38.486999999999995,78.976,0.269012104943274,765,12.9,,,,,,
76,76.0,1.0,Timesweep,38.52,78.601,0.2648948486660474,782,13.1644,,,,,,
77,77.0,1.0,Timesweep,38.594,77.82600000000001,0.25614833089198996,799,13.4289,,,,,,
78,78.0,1.0,Timesweep,38.846,78.372,0.25650742612157407,816,13.6933,,,,,,
79,79.0,1.0,Timesweep,38.376,78.292,0.2647524651305371,833,13.9578,,,,,,
80,80.0,1.0,Timesweep,38.343,78.734,0.2695087255823404,850,14.2222,,,,,,
81,81.0,1.0,Timesweep,38.552,79.23,0.27012495266944336,867,14.4867,,,,,,
82,82.0,1.0,Timesweep,38.702,78.47800000000001,0.26026402303830387,884,14.7511,,,,,,
83,83.0,1.0,Timesweep,38.749,78.91199999999999,0.2634390206812651,900,15.0,3,733.3,1687.0,2.301,15.0,1228.0
84,84.0,1.0,No,37.915,78.217,0.27288824680056767,,,,,,,,
85,85.0,1.0,No,38.093,78.134,0.26869864591599046,,,,,,,,
86,86.0,1.0,No,38.241,78.58800000000001,0.2700984883188273,,,,,,,,
87,87.0,1.0,No,38.407,77.987,0.26128072627489196,,,,,,,,
88,88.0,1.0,No,38.036,77.725,0.265950466387906,,,,,,,,
89,89.0,1.0,No,38.582,78.93,0.26678069175218555,,,,,,,,
90,90.0,1.0,No,38.42,77.69800000000001,0.2582820664624572,,,,,,,,
91,91.0,1.0,No,38.316,78.085,0.2639559454440673,,,,,,,,
