,Scannumber,Timesweep,Status,I0(5.642|4.287),I1(3.256|2.402),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
288,288,2,No,25.634,54.363,-0.25716532938875636,,,,,,,,
289,289,2,No,24.561999999999998,54.073,-0.21105172429498853,,,,,,,,
290,290,2,No,24.588,54.067,-0.21246821473237132,,,,,,,,
291,291,2,No,25.033,53.938,-0.2373640411092639,,,,,,,,
292,292,2,No,24.445,54.135,-0.20390254061527813,,,,,,,,
293,293,2,No,24.391,53.67100000000001,-0.21162813517848145,,,,,,,,
294,294,2,No,25.232,54.236000000000004,-0.24034772492259182,,,,,,,,
295,295,2,No,24.861,54.398,-0.21847070271559832,,,,,,,,
296,296,2,No,25.314,54.119,-0.24706888369809255,,,,,,,,
297,297,2,No,24.035,54.661,-0.17231948732059799,,,,,,,,
298,298,2,No,24.451,54.026,-0.20662756351657086,,,,,,,,
299,299,2,No,25.175,54.577,-0.22981348298163717,,,,,,,,
300,300,2,No,24.513,53.913000000000004,-0.21222265662655837,,,,,,,,
301,301,2,No,23.916,53.865,-0.18375359524843504,,,,,,,,
302,302,2,No,24.439,53.523999999999994,-0.21734674773690088,,,,,,,,
303,303,2,No,24.178,53.791000000000004,-0.1983679505151097,,,,,,,,
304,304,2,No,24.41,53.498000000000005,-0.2164931379223256,,,,,,,,
305,305,2,No,24.090999999999998,54.047,-0.18840006154373756,,,,,,,,
306,306,2,No,24.368000000000002,53.91,-0.20511914153591548,,,,,,,,
307,307,2,No,24.340999999999998,54.287,-0.19542409276031636,,,,,,,,
308,308,2,No,24.195999999999998,53.576,-0.2040727295276401,,,,,,,,
309,309,2,No,24.846,54.533,-0.21472094897543936,,,,,,,,
310,310,2,No,24.399,54.742,-0.18831286014909732,,,,,,,,
311,311,2,No,24.64,54.4,-0.20759480004043218,,,,,,,,
312,312,2,No,24.487,54.583,-0.19607278838787634,,,,,,,,
313,313,2,No,24.845,54.298,-0.21992912063221337,,,,,,,,
