,Scannumber,Timesweep,Status,I0(5.877|4.316),I1(3.757|2.137),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0.0,1.0,No,30.035999999999998,78.289,0.42451685421962226,,,,,,,,
1,1.0,1.0,No,30.143,78.921,0.427091648610636,,,,,,,,
2,2.0,1.0,No,29.304000000000002,76.163,0.42286937226737387,,,,,,,,
3,3.0,1.0,No,31.125999999999998,79.884,0.41554003304791953,,,,,,,,
4,4.0,1.0,No,39.036,69.082,0.15239859876668294,,,,,,,,
5,5.0,1.0,No,40.933,73.03,0.15925646994385867,,,,,,,,
6,6.0,1.0,No,41.948,72.748,0.1350690053334801,,,,,,,,
7,7.0,1.0,No,41.038000000000004,71.351,0.13726506986587417,,,,,,,,
8,8.0,1.0,No,41.465,70.773,0.12116908990716779,,,,,,,,
9,9.0,1.0,No,41.358000000000004,69.709,0.11005752485331877,,,,,,,,
10,10.0,1.0,No,40.998000000000005,68.516,0.1024432249401599,,,,,,,,
11,11.0,1.0,No,40.171,67.667,0.10951423884611411,,,,,,,,
12,12.0,1.0,No,41.053999999999995,68.955,0.10693930824450737,,,,,,,,
13,13.0,1.0,No,41.376999999999995,67.962,0.08676171978458558,,,,,,,,
14,14.0,1.0,No,41.016000000000005,67.801,0.09257975546083386,,,,,,,,
15,15.0,1.0,No,41.348,67.3,0.07842496285289746,,,,,,,,
16,16.0,1.0,No,41.208,67.671,0.08658066232211747,,,,,,,,
17,17.0,1.0,No,41.028999999999996,67.396,0.08683749777434868,,,,,,,,
18,18.0,1.0,No,41.258,66.691,0.07203370769669071,,,,,,,,
19,19.0,1.0,No,40.736999999999995,67.155,0.09008264462809934,,,,,,,,
20,20.0,1.0,No,41.442,67.551,0.07976195763201133,,,,,,,,
21,21.0,1.0,No,41.012,68.296,0.0992444652688298,,,,,,,,
22,22.0,1.0,No,41.306000000000004,67.33,0.07977127580573273,,,,,,,,
23,23.0,1.0,No,41.367,67.749,0.08411194261169908,,,,,,,,
24,24.0,1.0,No,41.086000000000006,67.08800000000001,0.08137073694252328,,,,,,,,
25,25.0,1.0,No,40.553000000000004,66.657,0.08742517665061411,,,,,,,,
26,26.0,1.0,No,41.271,67.07600000000001,0.07706929453157618,,,,,,,,
27,27.0,1.0,No,41.599,66.792,0.06577883578871724,,,,,,,,
28,28.0,1.0,No,40.945,67.82600000000001,0.0944844160056616,,,,,,,,
29,29.0,1.0,No,40.778,67.778,0.09753902446221507,,,,,,,,
30,30.0,1.0,Timesweep,40.37,66.541,0.08995957379660668,0,1.0,1,431.7,642.1,1.487,1.0,650.0
31,31.0,1.0,Timesweep,41.25899999999999,67.34100000000001,0.08096850358622565,17,1.2644,,,,,,
32,32.0,1.0,Timesweep,41.098,66.34,0.07074163400663247,34,1.5289,,,,,,
33,33.0,1.0,Timesweep,41.12,67.697,0.08888133890718952,51,1.7933,,,,,,
34,34.0,1.0,Timesweep,40.816,66.421,0.07824332665873746,68,2.0578,,,,,,
35,35.0,1.0,Timesweep,40.289,66.973,0.09764382661669624,85,2.3222,,,,,,
36,36.0,1.0,Timesweep,41.0,66.373,0.07341840808762612,102,2.5867,,,,,,
37,37.0,1.0,Timesweep,40.44,66.271,0.08466750162212744,119,2.8511,,,,,,
38,38.0,1.0,Timesweep,40.203,67.036,0.10041619428366844,136,3.1156,,,,,,
39,39.0,1.0,Timesweep,41.075,67.131,0.08220494257496525,153,3.38,,,,,,
40,40.0,1.0,Timesweep,40.925,68.013,0.09741520003528759,170,3.6444,,,,,,
41,41.0,1.0,Timesweep,40.445,66.314,0.08514793256325948,187,3.9089,,,,,,
42,42.0,1.0,Timesweep,40.409,67.175,0.09767770748046145,204,4.1733,,,,,,
43,43.0,1.0,Timesweep,40.402,66.399,0.0872904712420367,221,4.4378,,,,,,
44,44.0,1.0,Timesweep,40.652,66.91199999999999,0.08868364418938302,238,4.7022,,,,,,
45,45.0,1.0,Timesweep,41.083999999999996,67.207,0.08304194503548734,255,4.9667,,,,,,
46,46.0,1.0,Timesweep,40.189,65.684,0.08221941416478895,272,5.2311,,,,,,
47,47.0,1.0,Timesweep,40.85,66.991,0.08532489438879842,289,5.4956,,,,,,
48,48.0,1.0,Timesweep,39.559,65.346,0.09193370673032786,306,5.76,,,,,,
49,49.0,1.0,Timesweep,39.959,65.479,0.0846149147054781,323,6.0244,,,,,,
50,50.0,1.0,Timesweep,40.751999999999995,66.857,0.08569035403921821,340,6.2889,,,,,,
51,51.0,1.0,Timesweep,40.671,66.38600000000001,0.08103365167354581,357,6.5533,,,,,,
52,52.0,1.0,Timesweep,40.105,65.998,0.08849510591230059,374,6.8178,,,,,,
53,53.0,1.0,Timesweep,40.244,66.436,0.09136612679872369,391,7.0822,,,,,,
54,54.0,1.0,Timesweep,40.686,67.391,0.09440429730972988,408,7.3467,,,,,,
55,55.0,1.0,Timesweep,40.042,66.185,0.0924983002190829,425,7.6111,,,,,,
