,Scannumber,Timesweep,Status,I0(5.877|4.316),I1(3.757|2.078),conversion,treaction,tres,GPC_number,Mn,Mw,D,tres_GPC,Mn theory
0,0.0,1.0,No,22.385,49.985,0.7014437664632722,,,,,,,,
1,1.0,1.0,No,19.938,35.266,0.623093064141099,,,,,,,,
2,2.0,1.0,No,16.535999999999998,28.235,0.6095625996104126,,,,,,,,
3,3.0,1.0,No,15.824000000000002,25.095,0.5796240951052666,,,,,,,,
4,4.0,1.0,No,14.589,22.653000000000002,0.5706528936564694,,,,,,,,
5,5.0,1.0,No,34.239000000000004,43.716,0.47785707750022866,,,,,,,,
6,6.0,1.0,No,36.704,50.591,0.5163303090800075,,,,,,,,
7,7.0,1.0,No,39.198,54.226000000000006,0.5180909526795264,,,,,,,,
8,8.0,1.0,No,39.846,54.43,0.5119603160022047,,,,,,,,
9,9.0,1.0,No,41.615,57.016000000000005,0.5134114400636078,,,,,,,,
10,10.0,1.0,No,41.406000000000006,56.053999999999995,0.5075462946444499,,,,,,,,
11,11.0,1.0,No,41.942,56.72,0.5070286788904561,,,,,,,,
12,12.0,1.0,No,42.66,57.773999999999994,0.5077370443452072,,,,,,,,
13,13.0,1.0,No,41.98,57.911,0.5167296944161444,,,,,,,,
14,14.0,1.0,No,41.967,56.083999999999996,0.5011411454247201,,,,,,,,
15,15.0,1.0,No,42.761,58.464,0.5123950921364714,,,,,,,,
16,16.0,1.0,No,42.714,58.193999999999996,0.5106712032168265,,,,,,,,
17,17.0,1.0,No,42.827,58.576,0.5125762542110535,,,,,,,,
18,18.0,1.0,No,42.489,57.501000000000005,0.5073824803046905,,,,,,,,
19,19.0,1.0,No,42.538999999999994,56.632,0.49923482601120694,,,,,,,,
20,20.0,1.0,Timesweep,42.815,58.846000000000004,0.514948622959363,0,1.0,1,213.6,325.8,1.525,1.0,2066.0
21,21.0,1.0,Timesweep,42.583,58.053000000000004,0.5109870865128991,17,1.255,,,,,,
22,22.0,1.0,Timesweep,42.098,57.631,0.5130167213247501,34,1.51,,,,,,
23,23.0,1.0,Timesweep,42.333,57.727,0.5111126509259099,51,1.765,,,,,,
